zip,beds,baths,imputed_sqft,type,price
95838,2,1,836,0,59222
95823,3,1,1167,0,68212
95815,2,1,796,0,68880
95815,2,1,852,0,69307
95824,2,1,797,0,81900
95841,3,1,1122,1,89921
95842,3,2,1104,0,90895
95820,3,1,1177,0,91002
95670,2,2,941,1,94905
95673,3,2,1146,0,98937
95838,3,2,909,0,100309
95823,3,2,1289,0,106250
95815,1,1,871,0,106852
95822,3,1,1020,0,107502
95842,2,2,1022,0,108750
95842,2,2,1134,1,110700
95673,2,1,844,0,113263
95621,2,1,795,1,116250
95833,2,1,588,0,120000
95673,3,2,1356,0,121630
95621,3,2,1118,0,122000
95823,4,2,1329,0,122682
95660,4,2,1240,0,123000
95834,3,2,1601,0,124100
95660,3,2,901,0,125000
95843,3,2,1088,0,126640
95820,3,1,963,0,127281
95832,3,2,1119,0,129000
95827,4,2,1380,0,131200
95828,3,2,1248,0,132000
95758,2,2,1039,1,133000
95660,3,2,1152,0,134555
95827,3,2,1380,0,136500
95626,3,2,1116,0,138750
95758,2,2,1039,1,141000
95823,3,2,1418,0,146250
95660,3,2,1082,0,147308
95823,4,2,1472,0,148750
95828,4,2,1146,0,149593
95825,1,1,760,1,150000
95835,2,2,1304,1,152000
95822,3,2,1207,0,154000
95624,3,2,1056,0,156896
95843,2,2,1043,0,161250
95660,4,2,1587,0,161500
95833,4,1,1120,0,164000
95823,4,2,1580,0,165000
95823,4,1,1955,0,166357
95838,4,2,1656,0,166357
95823,3,2,1477,0,168000
95624,3,2,1188,0,170000
95828,4,2,1590,0,173000
95823,3,2,1463,0,174250
95828,4,2,1714,0,174313
95823,3,2,1185,0,178480
95632,3,2,1406,0,178760
95842,4,2,1943,2,179580
95826,3,2,1172,0,181000
95608,3,1,1152,0,181872
95823,4,3,1851,0,182587
95843,3,2,1215,0,182716
95632,3,2,1130,0,182750
95662,4,2,1603,0,183200
95632,3,1,1479,0,188741
95823,3,2,1420,0,189000
95826,3,2,1280,0,192067
95758,3,2,1586,0,194000
95843,3,2,1362,0,194818
95828,4,4,2162,2,195000
95823,3,2,1266,0,198000
95624,4,2,1715,0,199500
95630,3,2,1820,0,200000
95608,3,1,936,0,200000
95834,3,2,1511,0,208000
95823,4,2,1590,0,212864
95758,4,2,1596,0,221000
95835,2,2,1341,0,221000
95624,5,3,2136,0,223058
95624,4,2,1616,0,227887
95823,3,2,1478,0,231477
95670,3,2,1287,0,234697
95621,4,2,1277,0,235000
95833,4,2,1448,0,236000
95829,4,3,2235,0,236685
95655,3,2,2093,0,237800
95673,3,2,1193,0,240122
95757,3,2,2163,0,242638
95828,3,2,1269,0,244000
95828,3,1,958,0,244960
95624,5,3,2508,0,245918
95621,3,2,1305,0,250000
95758,4,2,1591,0,250000
95608,2,2,1326,1,250134
95757,3,2,1843,0,254200
95841,4,2,1921,0,254200
95758,5,3,2790,0,258000
95835,3,2,1541,0,260000
95820,3,1,1018,0,260014
95834,3,2,1672,1,265000
95726,3,2,1380,0,265000
95822,3,1,975,0,271742
95829,4,3,2372,0,273750
95822,3,2,1446,0,275086
95726,2,2,1284,0,280908
95832,4,3,3009,0,280987
95826,8,4,3612,2,282400
95758,4,2,2056,0,285000
95624,4,2,1993,0,287417
95757,3,2,1857,0,291000
95818,2,1,1126,0,292024
95827,4,4,2213,2,297000
95758,5,3,2494,0,297000
95757,3,2,1843,0,298000
95670,2,2,1520,0,299000
95835,5,3,2800,0,304037
95624,4,2,2309,0,311000
95827,5,3,2367,0,315537
95742,5,4,3516,0,320000
95826,4,3,1914,0,328360
95662,2,1,1690,0,334150
95757,3,3,2725,0,335750
95757,4,3,2354,0,335750
95630,3,2,2185,0,344250
95758,4,2,1801,0,346210
95823,3,3,1961,0,347029
95757,4,2,3134,0,347650
95823,4,3,1915,0,351300
95762,3,2,1270,0,352000
95683,4,3,2734,0,370500
95693,3,2,2110,0,372000
95757,5,3,3164,0,375000
95835,5,3,3599,0,381300
95831,4,2,2054,0,381942
95843,4,2,1830,0,387731
95814,3,3,1627,0,391000
95757,4,3,3440,0,394470
95635,3,2,2846,0,395000
95624,4,3,2359,0,400186
95831,3,3,2052,0,415000
95757,5,3,3433,0,425000
95742,5,3,3615,0,430000
95630,5,3,2687,0,460000
95757,4,3,2724,0,461000
95757,4,3,3440,0,489332
95757,5,4,3508,0,510000
95630,4,2,2462,0,539000
95762,4,3,1710,0,600000
95762,4,3,1710,0,606238
95864,3,3,2325,0,660000
95762,6,5,2590,0,830000
95621,2,1,795,1,69000
95817,4,2,1099,0,70000
95624,2,1,840,1,71000
95815,2,1,800,0,78000
95824,2,1,746,0,78400
95822,3,1,1067,0,80000
95815,4,2,1316,0,89000
95815,3,1,1337,0,90000
95824,2,1,868,0,90000
95824,3,1,924,0,92000
95820,2,1,610,0,93675
95815,2,1,1220,0,98000
95758,1,1,722,1,98000
95864,3,1,1643,0,99000
95758,1,1,722,1,100000
95632,3,1,1080,0,106716
95820,3,1,1039,0,111000
95660,3,1,1051,0,111000
95842,2,2,967,0,114800
95670,3,1,1098,0,120108
95824,3,1,1050,0,123225
95838,3,2,1110,0,123750
95660,3,1,888,0,125000
95822,3,2,1120,0,125000
95626,3,2,1080,0,126000
95660,3,1,957,0,129000
95838,2,1,952,0,134000
95838,3,2,1211,0,135000
95815,3,2,1264,0,135500
95833,3,1,1080,0,140000
95632,3,2,1266,0,140000
95628,2,2,994,1,142500
95834,3,2,1202,0,143500
95820,2,1,722,0,145000
95828,4,2,1448,0,145000
95828,3,2,1188,0,145000
95660,4,2,1183,0,146000
95822,3,1,1320,0,148500
95828,3,2,1117,0,149000
95828,3,2,1364,0,150000
95823,4,2,1310,0,150000
95758,2,2,1006,0,152000
95621,3,2,1104,0,156000
95825,2,1,810,0,156000
95624,2,2,1123,0,156000
95842,2,1,904,0,157788
95621,3,2,1156,0,161653
95820,2,1,1321,0,161829
95843,3,2,1392,0,165000
95823,3,2,1439,0,168000
95842,3,2,1159,0,169000
95670,3,2,1671,0,175000
95823,3,2,1740,0,176250
95823,3,2,1265,0,179000
95843,2,2,1007,0,180000
95758,3,2,1716,0,180400
95758,4,2,1685,0,182000
95670,4,2,1829,0,184500
95758,3,2,1555,0,185000
95608,4,2,1120,0,189000
95621,3,2,1137,0,194000
95826,3,1,1174,0,195000
95843,3,2,1393,0,200000
95682,3,1,1220,0,201000
95648,4,2,1660,0,202500
95828,3,2,1289,0,205000
95838,4,2,1799,0,205000
95667,3,2,1270,0,205000
95823,4,3,1953,0,205000
95820,2,1,723,0,207000
95682,2,2,880,0,210000
95667,2,1,948,0,211500
95621,4,2,1578,0,215000
95610,3,2,1317,0,215000
